nombre,dia_nacimiento,estado,pais,profesion,fase_luna
ABRAHAM LINCOLN,12-FEBRERO,KENTUCKY,USA,POLÍTICO,SEGUNDO MENGUANTE
ADAM SMITH,5-JUNIO,KILCARDY,ESCOCIA,FILÓSOFO,LUNA NUEVA
ADOLFO HITLER,20-ABRIL,BRAUNAU,AUSTRIA,DICTADOR,PRIMER MENGUANTE
ADOLFO PÉREZ ESQUIVEL,26-NOVIEMBRE,BUENOS AIRES,ARGENTINA,PACIFISTA,LUNA LLENA
ADRIANA KARENBEU,17-SEPTIEMBRE,BREZNO,SLOVAKIA,MODELO,LUNA NUEVA
AGATHA CHRIESTIE,15-SEPTIEMBRE,TORQUAY,INGLATERRA,ESCRITORA,LUNA NUEVA
AGUSTÍN LARA,30-OCTUBRE,TLACOTALPAN,MÉXICO,MÚSICO,CUARTO CRECIENTE
AL CAPONE,17-ENERO,"NEW YORK,NY",USA,MAFIOSO,PRIMER CRECIENTE
AL GORE,31-MARZO,WHASHINGTON.D.C,USA,POLÍTICO,CUARTO MENGUANTE
AL PACINO,25-ABRIL,NEW YORK,USA,ACTOR,PRIMER MENGUANTE
ALAN CHEPARD,18-NOVIEMBRE,"EAST DERRY, NH",USA,ASTRONAUTA,SEGUNDO CRECIENTE
ALBERT CAMUS,7-NOVIEMBRE,MONDOVI,ARGELIA,ESCRITOR,CUARTO CRECIENTE
ALBERT EINSTEIN,14-MARZO,ULM,ALEMANIA,CIENTÍFICO,CUARTO MENGUANTE
ALBERT SCHWEITZER,14-ENERO,STRASBOURG,ALEMANIA,HUMANISTA,CUARTO CRECIENTE
ALDO MORO,23-SEPTIEMBRE,MAGLIE,ITALIA,POLÍTICO,SEGUNDO MENGUANTE
ALEJANDRO DUMAS,24-JULIO,VILLERS-COTTERETS,FRANCIA,ESCRITOR,SEGUNDO MENGUANTE
ALEJANDRO DUMAS (HIJO),28-JULIO,PARÍS,FRANCIA,ESCRITOR,PRIMER CRECIENTE
ALEJO CARPENTIER,26-DICIEMBRE,HABANA,CUBA,ESCRITOR,PRIMER MENGUANTE
ALESSANDRA AMBROSIO,11-ABRIL,EREXIM,BRASIL,MODELO,CUARTO CRECIENTE
ALEXANDER FLEMING,6-AGOSTO,DARVEL,ESCOCIA,CIENTÍFICO,SEGUNDO CRECIENTE
ALEXANDER KERENSKY,22-ABRIL,SIMBIRSK,RUSIA,POLÍTICO,CUARTO MENGUANTE
ALFRED HITCHCOCK,13-AGOSTO,LONDRES,INGLATERRA,CINEASTA,CUARTO CRECIENTE
ALFRED NOVEL,21-OCTUBRE,ESTOCOLMO,SUECIA,INVENTOR,CUARTO CRECIENTE
ALICIA KEYS,25-ENERO,"NEW YORK, N.Y.",USA,CANTANTE,PRIMER MENGUANTE
ALLAN GREENSPAN,6-MARZO,NEW YORK,USA,ECONOMISTA,CUARTO MENGUANTE
ALLEN GINSBERG,3-JUNIO,"NEWARK,N J.",USA,ESCRITOR,PRIMER MENGUANTE
ALONSO DÁMASO,22-OCTUBRE,MADRID,ESPAÑA,ESCRITOR,CUARTO CRECIENTE
AMADO NERVO,27-AGOSTO,TEPIC,MÉXICO,ESCRITOR,LUNA NUEVA
ANATOLY KARPOV,23-MAYO,ZLATOUST,RUSIA,AJEDRECISTA,PRIMER MENGUANTE
ANDRÉ BRETON,19-FEBRERO,TINCHEBRAY,FRANCIA,ESCRITOR,PRIMER CRECIENTE
ANDRE-MARIE AMPERE,20-ENERO,LYON,FRANCIA,CIENTÍFICO,PRIMER MENGUANTE
ANDRÉS BELLO,29-NOVIEMBRE,CARACAS,VENEZUELA,ESCRITOR,SEGUNDO CRECIENTE
ANGELA MERKEL,17-JULIO,HAMBURG,ALEMANIA,POLÍTICA,LUNA LLENA
ANGÉLICA MARÍA,27-SEPTIEMBRE,"NEW ORLEANS, LOUISIANA",USA,ACTRIZ,LUNA NUEVA
ANGELINA JOLIE,4-JUNIO,"LOS ÁNGELES,CA",USA,ACTRIZ,SEGUNDO MENGUANTE
ANNA KOURNIKOVA,7-JUNIO,MOSCÚ,RUSIA,TENISTA,PRIMER CRECIENTE
ANNAN KOFI,8-ABRIL,KUMASI,GHANA,POLÍTICO,CUARTO CRECIENTE
ANTHONY HOPKINS,31-DICIEMBRE,PORTTALBOT,GALES,ACTOR,LUNA NUEVA
ANTHONY QUINN,21-ABRIL,CHIHUAHUA,MÉXICO,ACTOR,CUARTO CRECIENTE
ANTONIO BANDERAS,12-AGOSTO,MALAGA,ESPAÑA,ACTOR,CUARTO MENGUANTE
ANTONIO CARLOS JOBIM,25-ENERO,RÍO DE JANEIRO,BRASIL,MÚSICO,CUARTO MENGUANTE
ANTONIO CHEKHOV,17-ENERO,TANGANROG,RUSIA,ESCRITOR,SEGUNDO MENGUANTE
ANTONIO LAVOISIER,26-AGOSTO,NA,FRANCIA,CIENTÍFICO,PRIMER CRECIENTE
ANTONIO MACHADO,26-JULIO,SEVILLA,ESPAÑA,ESCRITOR,CUARTO MENGUANTE
ANTONIO VIVALDI,4-MARZO,VENECIA,ITALIA,MÚSICO,SEGUNDO CRECIENTE
ANWAR AL-SADAT,25-DICIEMBRE,TALA,EGIPTO,POLÍTICO,CUARTO MENGUANTE
ARIEL SHARON,27-FEBRERO,TEL AVIV,ISRAEL,POLÍTICO,CUARTO CRECIENTE
ARNOLD SCHWARZENEGGER,30-JULIO,THAL,AUSTRIA,ACTOR,SEGUNDO CRECIENTE
ARTHUR CONAN DOYLE,22-MAYO,EDINGURH,ESCOCIA,ESCRITOR,PRIMER MENGUANTE
ARTHUR RIMBAUD,20-OCTUBRE,CHARLEVILLE,FRANCIA,ESCRITOR,LUNA NUEVA
ARTHUR SCHOPENHAUER,22-FEBRERO,DANZING,ALEMANIA,FILÓSOFO,LUNA LLENA
ASHLEY JUDD,19-ABRIL,"LOS ÁNGELES,CA",USA,ACTRIZ,CUARTO MENGUANTE
ATAHUALPA YUPANQUI,22-ENERO,"PERGAMINO, B. A.",ARGENTINA,MÚSICO,PRIMER MENGUANTE
AUGUSTO PINOCHET,25-NOVIEMBRE,VALPARAISO,CHILE,DICTADOR,PRIMER MENGUANTE
AVRIL LAVIGNE,27-SEPTIEMBRE,ONTARIO,CANADÁ,CANTANTE,PRIMER CRECIENTE
AYRTON SENNA,21-MARZO,SAO PAULO,BRASIL,AUTOMOVILISTA,SEGUNDO MENGUANTE
BABE RUTH,6-FEBRERO,"BALTIMORE,MARYLAND",USA,BEISBOLISTA,SEGUNDO CRECIENTE
BÁRBARA BERMUDO,5-JUNIO,GUAYNABO,PUERTO RICO,PERIODISTA,SEGUNDO MENGUANTE
